Company name,Symbol
COOPER ENERGY LIMITED,COE
COPPER MOUNTAIN MINING CORPORATION,C6C
COPPER STRIKE LIMITED,CSE
COPPERMOLY LIMITED,COY
CORAZON MINING LIMITED,CZN
CORDISH DIXON PRIVATE EQUITY FUND I,CD1
CORDISH DIXON PRIVATE EQUITY FUND II,CD2
CORDISH DIXON PRIVATE EQUITY FUND III,CD3
CORE EXPLORATION LIMITED,CXO
CORIZON LIMITED,CIZ
CORONA RESOURCES LIMITED,CNA
CORPORATE TRAVEL MANAGEMENT LIMITED,CTD
CORUM GROUP LIMITED,COO
COSTA GROUP HOLDINGS LIMITED,CGC
COUGAR METALS NL,CGM
COUNTPLUS LIMITED,CUP
COUNTY INTERNATIONAL LIMITED,CCJ
COVATA LIMITED,CVT
COVENTRY GROUP LIMITED,CYG
COZIRON RESOURCES LIMITED,CZR
CPT GLOBAL LIMITED,CGO
CRADLE RESOURCES LIMITED,CXX
CRATER GOLD MINING LIMITED,CGN
CREDIBLE LABS INC.,CRD
CREDIT CORP GROUP LIMITED,CCP
CRESO PHARMA LIMITED,CPH
CROMWELL PROPERTY GROUP,CMW
CROPLOGIC LIMITED,CLI
CROSSLAND STRATEGIC METALS LTD,CUX
CROWD MOBILE LIMITED,CM8
CROWDSPARK LTD,CSK
CROWN RESORTS LIMITED,CWN
CRUSADE ABS SERIES 2015-1 TRUST,CUH
CRUSADE ABS SERIES 2016-1 TRUST,CU1
CRUSADE ABS SERIES 2017-1 TRUST,CU2
CRUSADER RESOURCES LIMITED,CAS
CRYOSITE LIMITED,CTE
CSG LIMITED,CSV
CSL LIMITED,CSL
CSR LIMITED,CSR
CTI LOGISTICS LIMITED,CLX
CUDECO LIMITED,CDU
CUE ENERGY RESOURCES LIMITED,CUE
CULLEN RESOURCES LIMITED,CUL
CV CHECK LTD,CV1
CVC LIMITED,CVC
CYBG PLC,CYB
CYCLIQ GROUP LTD,CYQ
CYCLOPHARM LIMITED,CYC
CYGNUS GOLD LIMITED,CY5
CYNATA THERAPEUTICS LIMITED,CYP
DACIAN GOLD LIMITED,DCN
DAMPIER GOLD LIMITED,DAU
DANAKALI LIMITED,DNK
DARK HORSE RESOURCES LIMITED,DHR
DART MINING NL,DTM
DATA#3 LIMITED,DTL
DATADOT TECHNOLOGY LIMITED,DDT
DATELINE RESOURCES LIMITED,DTR
DAVENPORT RESOURCES LIMITED,DAV
DAWINE LTD,DW8
DE GREY MINING LIMITED,DEG
DE.MEM LIMITED,DEM
DECIMAL SOFTWARE LIMITED,DSX
DECMIL GROUP LIMITED,DCG
DEEP YELLOW LIMITED,DYL
DELECTA LIMITED,DLC
DEMPSEY MINERALS LIMITED,DMI
DEPARTMENT 13 INTERNATIONAL LTD,D13
DESANE GROUP HOLDINGS LIMITED,DGH
DEVEX RESOURCES LIMITED,DEV
DEVINE LIMITED,DVN
DEXUS,DXS
DGO GOLD LIMITED,DGO
DGR GLOBAL LIMITED,DGR
DIATREME RESOURCES LIMITED,DRX
DICKER DATA LIMITED,DDR
DIGIMATIC GROUP LIMITED,DMC
DIGITALX LIMITED,DCC
DIMERIX LIMITED,DXB
DING SHENG XIN FINANCE CO. LIMITED,DXF
DIPLOMA GROUP LIMITED,DGX
DISCOVERY AFRICA LIMITED,DAF
DIVERSIFIED UNITED INVESTMENT LIMITED,DUI
DJERRIWARRH INVESTMENTS LIMITED,DJW
DOMACOM LIMITED,DCL
DOMAIN HOLDINGS AUSTRALIA LIMITED.,DHG
DOME GOLD MINES LIMITED,DME
DOMINO'S PIZZA ENTERPRISES LIMITED,DMP
DONACO INTERNATIONAL LIMITED,DNA
DONGFANG MODERN AGRICULTURE HOLDING GROUP LIMITED,DFM
DORAY MINERALS LIMITED,DRM
DORIEMUS PLC,DOR
DORSAVI LTD,DVL
DOTZ NANO LIMITED,DTZ
DOWNER EDI LIMITED,DOW
DRAGON MINING LIMITED,DRA
DRAGON MOUNTAIN GOLD LIMITED,DMG
DRAGONTAIL SYSTEMS LIMITED,DTS
DRAIG RESOURCES LIMITED,DRG
DRAKE RESOURCES LIMITED,DRK
DREAMSCAPE NETWORKS LIMITED,DN8
DRIVER AUSTRALIA FOUR TRUST,DAZ
